Title,Brand,Price,Rating,Rating Count,Review Count,URL
Qubo Elite Lock by HERO GROUP 5-Way Unlocking Fingerprint Pincode Mobile App Smart Door Lock,Qubo,"₹13,490",5,5 Ratings &,1 Reviews,https://www.flipkart.com/qubo-elite-lock-hero-group-5-way-unlocking-fingerprint-pincode-mobile-app-smart-door/p/itm56a0fc560d344?pid=SLOGZ4MNYSGJESNJ&lid=LSTSLOGZ4MNYSGJESNJPGMB6H&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_4_121&otracker=search&otracker1=search&fm=organic&iid=en_x9j-3vKd5ol5OOUoyL5e2yptJiTgw6tVNEewFx0Dnsu3XXpvhQzWYQcR6t5MEW1FaKf5_0tU87iRoYiDno-UqPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=cafsfrjfnk0000001730089456417&qH=cbd6bd39f1bc0eb5
"SPEEDY WiFi Enabled Smart Door Lock for Main Door with 5 in 1 Access | Biometric, 2 Emergency Keys | (No Extra Gateway Required) | 5 in 1 Life LITE |2-Year Warranty & Free Installation by Brand Smart Door Lock",SPEEDY,"₹6,499",4.2,0,0,https://www.flipkart.com/speedy-wifi-enabled-smart-door-lock-main-5-1-access-biometric-2-emergency-keys-no-extra-gateway-required-life-lite-2-year-warranty-free-installation-brand/p/itmb960e398b02b1?pid=SLOH4GTZG4WFWA7B&lid=LSTSLOH4GTZG4WFWA7BE1MGSI&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_4_122&otracker=search&otracker1=search&fm=organic&iid=en_x9j-3vKd5ol5OOUoyL5e2yptJiTgw6tVNEewFx0DnsvXCyf3xW-Qb06k1E3NIajE8WxuOq9m-cu30qzPx6qrsA%3D%3D&ppt=None&ppn=None&ssid=cafsfrjfnk0000001730089456417&qH=cbd6bd39f1bc0eb5
"Denler Smart Digital Door Lock 3D Face Recognition, LCD & Camera, Inbuilt Wi-Fi, Remote Smart Door Lock",Denler,"₹34,999",3.8,0,0,https://www.flipkart.com/denler-smart-digital-door-lock-3d-face-recognition-lcd-camera-inbuilt-wi-fi-remote/p/itmeb5474614d62d?pid=SLOGMV5ZJEFKZX3H&lid=LSTSLOGMV5ZJEFKZX3HEZKEBH&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_4_123&otracker=search&otracker1=search&fm=organic&iid=dc23b273-cf23-4398-9cf9-d42c5247349b.SLOGMV5ZJEFKZX3H.SEARCH&ppt=None&ppn=None&ssid=cafsfrjfnk0000001730089456417&qH=cbd6bd39f1bc0eb5
DHARAM SHAKTI Dharam shakti DS001 Smart Door Lock,DHARAM SHAKTI,"₹4,999",4.2,0,0,https://www.flipkart.com/dharam-shakti-ds001-smart-door-lock/p/itm750461477c0ca?pid=SLOH249CJBRKSFNQ&lid=LSTSLOH249CJBRKSFNQWO8FP5&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_4_124&otracker=search&otracker1=search&fm=organic&iid=dc23b273-cf23-4398-9cf9-d42c5247349b.SLOH249CJBRKSFNQ.SEARCH&ppt=None&ppn=None&ssid=cafsfrjfnk0000001730089456417&qH=cbd6bd39f1bc0eb5
Aayansh Collection WiFi Controller with Door Lock and 2 Remotes Works with (Alexa and Google Home) Smart Door Lock,Aayansh Collection,"₹4,899",3.7,0,0,https://www.flipkart.com/aayansh-collection-wifi-controller-door-lock-2-remotes-works-alexa-google-home-smart/p/itmb239d4f0fc7a9?pid=SLOHFGQCMXS4QHCF&lid=LSTSLOHFGQCMXS4QHCF7YAVAK&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_4_125&otracker=search&otracker1=search&fm=organic&iid=dc23b273-cf23-4398-9cf9-d42c5247349b.SLOHFGQCMXS4QHCF.SEARCH&ppt=None&ppn=None&ssid=cafsfrjfnk0000001730089456417&qH=cbd6bd39f1bc0eb5
Pooja Info Tauch Smart door lock Smart Door Lock,Pooja Info Tauch,"₹9,999",0,0,0,https://www.flipkart.com/pooja-info-tauch-smart-door-lock/p/itmc72e190913a3a?pid=SLOGWKD5MKWPBMPX&lid=LSTSLOGWKD5MKWPBMPXXPVAZX&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_4_126&otracker=search&otracker1=search&fm=organic&iid=dc23b273-cf23-4398-9cf9-d42c5247349b.SLOGWKD5MKWPBMPX.SEARCH&ppt=None&ppn=None&ssid=cafsfrjfnk0000001730089456417&qH=cbd6bd39f1bc0eb5
"Atomberg Azhero With Fingerprint, PIN, OTP, NFC, App, Key Access & 2 Bolts Smart Door Lock",Atomberg,"₹9,499",4.6,27 Ratings &,7 Reviews,https://www.flipkart.com/atomberg-azhero-fingerprint-pin-otp-nfc-app-key-access-2-bolts-smart-door-lock/p/itm0f9b2a53c01b9?pid=SLOHFHHKYNES54HB&lid=LSTSLOHFHHKYNES54HB8PUJYE&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_4_127&otracker=search&otracker1=search&fm=organic&iid=en_x9j-3vKd5ol5OOUoyL5e2yptJiTgw6tVNEewFx0Dnsv2kXv_Ky-bO5DxqamhLealeBXZ79YNp0_7riBl20Cmj_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=cafsfrjfnk0000001730089456417&qH=cbd6bd39f1bc0eb5
Qubo Smart Elite by HERO GROUP 5-Way Unlocking Fingerprint Pincode Mobile App Smart Door Lock,Qubo,"₹11,990",4.3,8 Ratings &,1 Reviews,https://www.flipkart.com/qubo-smart-elite-hero-group-5-way-unlocking-fingerprint-pincode-mobile-app-door-lock/p/itm0973ead2f8956?pid=SLOGZ4MNB2UW442R&lid=LSTSLOGZ4MNB2UW442RWZHKAR&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_4_128&otracker=search&otracker1=search&fm=organic&iid=en_x9j-3vKd5ol5OOUoyL5e2yptJiTgw6tVNEewFx0DnsvDCyI3x3JC45qe-R_zRGXt253-zlHXNf5EZefEGWVQrPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=cafsfrjfnk0000001730089456417&qH=cbd6bd39f1bc0eb5
RS MegaMART RSMM-SML-5845 Smart Door Lock,RS MegaMART,"₹4,400",3.1,0,0,https://www.flipkart.com/rs-megamart-rsmm-sml-5845-smart-door-lock/p/itmc6eb0ac3305fd?pid=SLOHFACQGJGHJGRV&lid=LSTSLOHFACQGJGHJGRVCT7FYL&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_4_129&otracker=search&otracker1=search&fm=organic&iid=dc23b273-cf23-4398-9cf9-d42c5247349b.SLOHFACQGJGHJGRV.SEARCH&ppt=None&ppn=None&ssid=cafsfrjfnk0000001730089456417&qH=cbd6bd39f1bc0eb5
SMARTLOCK SM 084 Smart Door Lock,SMARTLOCK,"₹2,200",4.2,0,0,https://www.flipkart.com/smartlock-sm-084-smart-door-lock/p/itmeab27c283e448?pid=SLOGZ4G7ZHBDDPXH&lid=LSTSLOGZ4G7ZHBDDPXH2PUJTB&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_4_130&otracker=search&otracker1=search&fm=organic&iid=dc23b273-cf23-4398-9cf9-d42c5247349b.SLOGZ4G7ZHBDDPXH.SEARCH&ppt=None&ppn=None&ssid=cafsfrjfnk0000001730089456417&qH=cbd6bd39f1bc0eb5
