Product URL,Product Title,Brand,Price,Rating,Rating Count,Best Seller Rank
https://amazon.in/sspa/click?ie=UTF8&spc=MTo3ODA4NjA0MTM5ODAzMzY6MTczMDA5MjY1MTpzcF9hdGZfbmV4dDozMDAzNTkyNTgxMzExMzI6OjA6Og&url=%2FGodrej-Digital-Fingerprint-Mechanical-Function%2Fdp%2FB0CM98998Z%2Fref%3Dsr_1_49_sspa%3Fcrid%3D3MNJ4J5A0A3FY%26dib%3DeyJ2IjoiMSJ9.V41E60HIeMlXlrriEaVrNpHHci2K6Nmm9DBcTJmSsWiTC3OFu5_DYLc7Mlu9JaXT_zO8TGFBjgXLWCqkhFBI3OgU1Jk-gdtzYib19xiTVgDxSyyvhFhU7G5H2BsKU-ZsSrpTJLW8v3HTcj1W8kuHUMllz-pAea898DO-l-Y26OdDBb9Peb86e8rKDw56SSEcU4v19lbg5Pb5Lz4Ufi2_Lnz5xFomqjqEfsoSUvXA5JhGgxXD1qHNZkkzaZeaO1Y7TrHrOqUbNqXD6Y9A4OWnXkKcMyJxb3UxupRWVs-KPts.Ct-B511gQV0pcdR6WE1HINauhKwkInDEfS_4uhGmFgQ%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26qid%3D1730092651%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Godrej Smart Lock I Catus Touch Pro I Digital Lock for Main and Internal Wooden Door I 3 in 1 Access I Fingerprint I Pin Access I Mechanical Key I Black,Godrej Locking Solutions and Systems,"₹8,999",,23 ratings,"#10,694 in Home Improvement (See Top 100 in Home Improvement)  #72 in Home Security & Surveillance Biometrics"
https://amazon.in/sspa/click?ie=UTF8&spc=MTo3ODA4NjA0MTM5ODAzMzY6MTczMDA5MjY1MTpzcF9hdGZfbmV4dDozMDAwOTgzNjcyMzM1MzI6OjA6Og&url=%2FQUBO-Unlocking-Fingerprint-Mechanical-Stainless%2Fdp%2FB09M8QS88Y%2Fref%3Dsr_1_50_sspa%3Fcrid%3D3MNJ4J5A0A3FY%26dib%3DeyJ2IjoiMSJ9.V41E60HIeMlXlrriEaVrNpHHci2K6Nmm9DBcTJmSsWiTC3OFu5_DYLc7Mlu9JaXT_zO8TGFBjgXLWCqkhFBI3OgU1Jk-gdtzYib19xiTVgDxSyyvhFhU7G5H2BsKU-ZsSrpTJLW8v3HTcj1W8kuHUMllz-pAea898DO-l-Y26OdDBb9Peb86e8rKDw56SSEcU4v19lbg5Pb5Lz4Ufi2_Lnz5xFomqjqEfsoSUvXA5JhGgxXD1qHNZkkzaZeaO1Y7TrHrOqUbNqXD6Y9A4OWnXkKcMyJxb3UxupRWVs-KPts.Ct-B511gQV0pcdR6WE1HINauhKwkInDEfS_4uhGmFgQ%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26qid%3D1730092651%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,QUBO Smart Door Lock Select from Hero Group | 6-Way Unlocking | Fingerprint | PIN | RFID Access Card | Bluetooth Mobile App | Mechanical Key | OTP Access | 2 Years Brand Warranty | (Black),Qubo,"₹15,990",4.4,"1,082 ratings","#1,716 in Home Improvement (See Top 100 in Home Improvement)  #11 in Home Security & Surveillance Biometrics"
https://amazon.in/sspa/click?ie=UTF8&spc=MTo3ODA4NjA0MTM5ODAzMzY6MTczMDA5MjY1MTpzcF9hdGZfbmV4dDozMDAzNDc3NzgwNzI4MzI6OjA6Og&url=%2FMygate-Fingerprint-Mechanical-Feature-Warranty%2Fdp%2FB0DD4DKCDH%2Fref%3Dsr_1_51_sspa%3Fcrid%3D3MNJ4J5A0A3FY%26dib%3DeyJ2IjoiMSJ9.V41E60HIeMlXlrriEaVrNpHHci2K6Nmm9DBcTJmSsWiTC3OFu5_DYLc7Mlu9JaXT_zO8TGFBjgXLWCqkhFBI3OgU1Jk-gdtzYib19xiTVgDxSyyvhFhU7G5H2BsKU-ZsSrpTJLW8v3HTcj1W8kuHUMllz-pAea898DO-l-Y26OdDBb9Peb86e8rKDw56SSEcU4v19lbg5Pb5Lz4Ufi2_Lnz5xFomqjqEfsoSUvXA5JhGgxXD1qHNZkkzaZeaO1Y7TrHrOqUbNqXD6Y9A4OWnXkKcMyJxb3UxupRWVs-KPts.Ct-B511gQV0pcdR6WE1HINauhKwkInDEfS_4uhGmFgQ%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26qid%3D1730092651%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D8-51-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Mygate Smart Lock SE | 6-Ways to Unlock | Fingerprint | Mobile App Access | OTP | PIN Access | RFID Card | Mechanical Key | Decoy Pin Feature | 3-Years Warranty,Mygate,"₹8,450",4.5,122 ratings,#553 in Home Improvement (See Top 100 in Home Improvement)  #2 in Home Security & Surveillance Biometrics
https://amazon.in/sspa/click?ie=UTF8&spc=MTo3ODA4NjA0MTM5ODAzMzY6MTczMDA5MjY1MTpzcF9hdGZfbmV4dDozMDAzNDU0MTI0ODQ4MzI6OjA6Og&url=%2FQUBO-Essential-Unlocking-Fingerprint-Mechanical%2Fdp%2FB0BS9LFSWJ%2Fref%3Dsr_1_52_sspa%3Fcrid%3D3MNJ4J5A0A3FY%26dib%3DeyJ2IjoiMSJ9.V41E60HIeMlXlrriEaVrNpHHci2K6Nmm9DBcTJmSsWiTC3OFu5_DYLc7Mlu9JaXT_zO8TGFBjgXLWCqkhFBI3OgU1Jk-gdtzYib19xiTVgDxSyyvhFhU7G5H2BsKU-ZsSrpTJLW8v3HTcj1W8kuHUMllz-pAea898DO-l-Y26OdDBb9Peb86e8rKDw56SSEcU4v19lbg5Pb5Lz4Ufi2_Lnz5xFomqjqEfsoSUvXA5JhGgxXD1qHNZkkzaZeaO1Y7TrHrOqUbNqXD6Y9A4OWnXkKcMyJxb3UxupRWVs-KPts.Ct-B511gQV0pcdR6WE1HINauhKwkInDEfS_4uhGmFgQ%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26qid%3D1730092651%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D8-52-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,QUBO Smart Door Lock Essential from Hero Group | 6-Way Unlocking | Fingerprint | PIN | RFID Card | Bluetooth Mobile App | Mechanical Key | OTP Access | 1 Year Brand Warranty | (Copper),Qubo,"₹9,490",,"1,472 ratings","#1,218 in Home Improvement (See Top 100 in Home Improvement)  #5 in Home Security & Surveillance Biometrics"
https://amazon.in/IFITech-Rechargeable-Fingerprint-Thumbprint-Passwordless/dp/B0CLV66KWP/ref=sr_1_53?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9.V41E60HIeMlXlrriEaVrNpHHci2K6Nmm9DBcTJmSsWiTC3OFu5_DYLc7Mlu9JaXT_zO8TGFBjgXLWCqkhFBI3OgU1Jk-gdtzYib19xiTVgDxSyyvhFhU7G5H2BsKU-ZsSrpTJLW8v3HTcj1W8kuHUMllz-pAea898DO-l-Y26OdDBb9Peb86e8rKDw56SSEcU4v19lbg5Pb5Lz4Ufi2_Lnz5xFomqjqEfsoSUvXA5JhGgxXD1qHNZkkzaZeaO1Y7TrHrOqUbNqXD6Y9A4OWnXkKcMyJxb3UxupRWVs-KPts.Ct-B511gQV0pcdR6WE1HINauhKwkInDEfS_4uhGmFgQ&dib_tag=se&keywords=smart+lock&qid=1730092651&sprefix=smart+lock%2Caps%2C209&sr=8-53,"IFITech USB Rechargeable Smart Fingerprint Padlock | Keyless Thumbprint Lock, Keyless/Passwordless Access (Black)- Perfect for Travel- Gym Bag, Handbag, Suitcase, Luggage, Cabinet, Lockers, Bicycle",IFITech,"₹1,990",,13 ratings,"#18,870 in Home Improvement (See Top 100 in Home Improvement)  #127 in Home Security & Surveillance Biometrics"
https://amazon.in/Golens-Bluetooth-Fingerprint-Size10-12-Thickness/dp/B0CCY3PJM7/ref=sr_1_54?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9.V41E60HIeMlXlrriEaVrNpHHci2K6Nmm9DBcTJmSsWiTC3OFu5_DYLc7Mlu9JaXT_zO8TGFBjgXLWCqkhFBI3OgU1Jk-gdtzYib19xiTVgDxSyyvhFhU7G5H2BsKU-ZsSrpTJLW8v3HTcj1W8kuHUMllz-pAea898DO-l-Y26OdDBb9Peb86e8rKDw56SSEcU4v19lbg5Pb5Lz4Ufi2_Lnz5xFomqjqEfsoSUvXA5JhGgxXD1qHNZkkzaZeaO1Y7TrHrOqUbNqXD6Y9A4OWnXkKcMyJxb3UxupRWVs-KPts.Ct-B511gQV0pcdR6WE1HINauhKwkInDEfS_4uhGmFgQ&dib_tag=se&keywords=smart+lock&qid=1730092651&sprefix=smart+lock%2Caps%2C209&sr=8-54,"Golens Aluminium X37 Wifi Smart Glass Door Lock, Digital Glass Lock With Wireless Remote,Pin, Ic Card, Key Auto Locking High Strength (Standard Size10-12 Mm Thickness Of Glass)",Golens,"₹7,560",,24 ratings,"#12,293 in Home Improvement (See Top 100 in Home Improvement)  #84 in Home Security & Surveillance Biometrics"
https://amazon.in/DFL08-Fingerprint-Biometric-Furniture-Fingerprints/dp/B0DJMJRG88/ref=sr_1_55?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9.V41E60HIeMlXlrriEaVrNpHHci2K6Nmm9DBcTJmSsWiTC3OFu5_DYLc7Mlu9JaXT_zO8TGFBjgXLWCqkhFBI3OgU1Jk-gdtzYib19xiTVgDxSyyvhFhU7G5H2BsKU-ZsSrpTJLW8v3HTcj1W8kuHUMllz-pAea898DO-l-Y26OdDBb9Peb86e8rKDw56SSEcU4v19lbg5Pb5Lz4Ufi2_Lnz5xFomqjqEfsoSUvXA5JhGgxXD1qHNZkkzaZeaO1Y7TrHrOqUbNqXD6Y9A4OWnXkKcMyJxb3UxupRWVs-KPts.Ct-B511gQV0pcdR6WE1HINauhKwkInDEfS_4uhGmFgQ&dib_tag=se&keywords=smart+lock&qid=1730092651&sprefix=smart+lock%2Caps%2C209&sr=8-55,"Escozor® DFL08 Fingerprint Drawer Lock, Smart Biometric Cabinet Lock, Safety Electric Fingerprint Lock, Drawer Wardrobe Lock, Furniture Privacy Lock (Upto 10 Fingerprints can be stored)(Without Ekey)",Escozor,"₹1,000",3.9,N/A,"#12,354 in Home Improvement (See Top 100 in Home Improvement)  #86 in Home Security & Surveillance Biometrics"
https://amazon.in/LAVNA-LS11-Fingerprint-Cabinet-Waredrobes/dp/B0DHVSC668/ref=sr_1_56?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9.V41E60HIeMlXlrriEaVrNpHHci2K6Nmm9DBcTJmSsWiTC3OFu5_DYLc7Mlu9JaXT_zO8TGFBjgXLWCqkhFBI3OgU1Jk-gdtzYib19xiTVgDxSyyvhFhU7G5H2BsKU-ZsSrpTJLW8v3HTcj1W8kuHUMllz-pAea898DO-l-Y26OdDBb9Peb86e8rKDw56SSEcU4v19lbg5Pb5Lz4Ufi2_Lnz5xFomqjqEfsoSUvXA5JhGgxXD1qHNZkkzaZeaO1Y7TrHrOqUbNqXD6Y9A4OWnXkKcMyJxb3UxupRWVs-KPts.Ct-B511gQV0pcdR6WE1HINauhKwkInDEfS_4uhGmFgQ&dib_tag=se&keywords=smart+lock&qid=1730092651&sprefix=smart+lock%2Caps%2C209&sr=8-56,"LAVNA LS11 Smart Fingerprint Cabinet, Drawer, Waredrobes Door Lock with Fingerprint Access, Fully Secured Lock (Black)",LAVNA,"₹1,400",,N/A,"#38,356 in Home Improvement (See Top 100 in Home Improvement)  #243 in Home Security & Surveillance Biometrics"
https://amazon.in/X111-Upgraded-Display-Recognition-Fingerprint/dp/B0DC57HPJC/ref=sr_1_57?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9.V41E60HIeMlXlrriEaVrNpHHci2K6Nmm9DBcTJmSsWiTC3OFu5_DYLc7Mlu9JaXT_zO8TGFBjgXLWCqkhFBI3OgU1Jk-gdtzYib19xiTVgDxSyyvhFhU7G5H2BsKU-ZsSrpTJLW8v3HTcj1W8kuHUMllz-pAea898DO-l-Y26OdDBb9Peb86e8rKDw56SSEcU4v19lbg5Pb5Lz4Ufi2_Lnz5xFomqjqEfsoSUvXA5JhGgxXD1qHNZkkzaZeaO1Y7TrHrOqUbNqXD6Y9A4OWnXkKcMyJxb3UxupRWVs-KPts.Ct-B511gQV0pcdR6WE1HINauhKwkInDEfS_4uhGmFgQ&dib_tag=se&keywords=smart+lock&qid=1730092651&sprefix=smart+lock%2Caps%2C209&sr=8-57,"GOLENS X111 Upgraded Smart Door Lock LCD Display, Camera with 3D Face Recognition, Fingerprint, WiFi, Mobile App, PIN, RFID Card and Manual Key Access Digital Door Lock",N/A,"₹20,890",,2 ratings,"#31,637 in Home Improvement (See Top 100 in Home Improvement)  #210 in Home Security & Surveillance Biometrics"
https://amazon.in/UNIY-810-Required-Fingerprint-PIN-OTP-RFID-Card-Suitable/dp/B0CLYLNCZD/ref=sr_1_58?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9.V41E60HIeMlXlrriEaVrNpHHci2K6Nmm9DBcTJmSsWiTC3OFu5_DYLc7Mlu9JaXT_zO8TGFBjgXLWCqkhFBI3OgU1Jk-gdtzYib19xiTVgDxSyyvhFhU7G5H2BsKU-ZsSrpTJLW8v3HTcj1W8kuHUMllz-pAea898DO-l-Y26OdDBb9Peb86e8rKDw56SSEcU4v19lbg5Pb5Lz4Ufi2_Lnz5xFomqjqEfsoSUvXA5JhGgxXD1qHNZkkzaZeaO1Y7TrHrOqUbNqXD6Y9A4OWnXkKcMyJxb3UxupRWVs-KPts.Ct-B511gQV0pcdR6WE1HINauhKwkInDEfS_4uhGmFgQ&dib_tag=se&keywords=smart+lock&qid=1730092651&sprefix=smart+lock%2Caps%2C209&sr=8-58,"UNIY 810 Smart Digital WiFi App Door Lock (No Extra Wi-Fi Gateway Required)Fingerprint-PIN-OTP-RFID-Card&Manual Key|Child Lock|5 Bolt Strong Mortis|Suitable for Minimum 35 mm Wooden Doors(Black,Metal)",UNIY,"₹7,295",,71 ratings,"#11,864 in Home Improvement (See Top 100 in Home Improvement)  #79 in Home Security & Surveillance Biometrics"
